tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
ASUS B760M-AYW WIFI D4,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus H81 H81M-C/CSM DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Gigabyte B860M AORUS ELITE WIFI6E DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Biostar B560 M-SILVER LGA1200 DDR4 Micro ATX,4465478,LGA 1200,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock H410 M/ac DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS H310 PRIME H310M-R R2.0 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s
ASRock B560M Pro4 LGA1200 DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI PRO B650M-P,3951487,AM5,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI A320M PRO-VD PLUS AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s
ASRock B850 Pro RS WiFi AM5 DDR5 ATX,5268737,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASRock B860 Lightning WiFi DDR5 ATX,5268737,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS X870 MAX GAMING WIFI7 W DDR5 ATX,6698216,AM5,ATX,256,4,TRẮNG,DDR5,PCIe 4.0 x4,
MSI B550-A PRO (CEC),9905720,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
MSI B450-A PRO MAX,6342032,AM4,ATX,64,4,,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte X299 AORUS Gaming 3 Pro LGA2066 DDR4 ATX,12882705,LGA 2066,ATX,128,8,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B85 PLUS LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Asus X79 Deluxe LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,64,8,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Gigabyte B650M C AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,192,4,NÂU / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MAXSUN B760 iCraft B760M CROSS LGA1700 DDR5 Micro ATX,4018139,LGA 1700,Micro ATX,192,4,TRẮNG / HỒNG,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus B560 PRIME B560M-A AC LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B650-PLUS,4214937,AM5,ATX,256,4,ĐEN / XÁM / CAM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus PRIME B650-PLUS WIFI,4214937,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte A520M H (rev. 1.x),2897687,AM4,Micro ATX,64,2,ĐEN,DDR4,SATA / PCIe 3.0 x4/x2,sata_6_gb_s
Asus Z370 ROG Strix Z370-H Gaming DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B850 AI TOP AM5 DDR5 ATX,6129691,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus Z890 MAX GAMING WIFI7 DDR5 ATX,8693587,LGA 1851,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus PRIME B650M-A II-CSM,4214937,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASRock B360M ITX/ac DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z390 AORUS ULTRA ATX LGA1151,7007770,LGA 1151,ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B150 M-A/M.2 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Supermicro Intel C602 X9SRA LGA2011 DDR3 ATX,19495300,LGA 2011,ATX,64,8,ĐEN / XANH LÁ,DDR3,,sata_3_gb_s; sata_6_gb_s
Gigabyte AMD 970 GA-970A-DS3 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,XANH DƯƠNG / TRẮNG,DDR3,,sata_6_gb_s
Biostar Z590 MHP DDR4 Micro ATX,4465478,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus Z270 TUF MARK 1 DDR4 ATX LGA1151,9707869,LGA 1151,ATX,64,4,XANH LÁ / NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z270 GAMING M5 DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z790 MPG EDGE MONSTER HUNTER EDITION DDR5 ATX,6306466,LGA 1700,ATX,256,4,ĐEN / ĐỎ,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus Z270 MAXIMUS IX APEX LGA1151 DDR4 EATX,17124250,LGA 1151,EATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B850-BTF WIFI W,7376337,AM5,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte B760 DS3H AX DDR5 ATX,6913982,LGA 1700,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B650 GAMING PLUS WIFI DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI MAG Z890 TOMAHAWK WIFI,6322537,LGA 1851,ATX,256,4,ĐEN / VÀNG,DDR5,PCIe 4.0 x4,
ASRock 990FX Killer/3.1 DDR3 ATX,3361622,AM3+,ATX,64,4,ĐEN / ĐỎ,DDR3,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B360M HD3 DDR4 Micro ATX LGA1151,6849437,LGA 1151,Micro ATX,32,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI X299 TOMAHAWK ARCTIC DDR4 ATX,12882705,LGA 2066,ATX,256,8,TRẮNG / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z890 Phantom Gaming Nova WiFi DDR5 ATX,5268737,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus A520 PRIME M-R-CSM AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B460M MAG BAZOOKA DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B450 PRIME B450-PLUS AM4 DDR4 ATX,7093918,AM4,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Gigabyte Z890 AORUS ELITE X ICE DDR5 ATX,5928942,LGA 1851,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte GA-H87-HD3 ATX LGA1150,10853613,LGA 1150,ATX,32,4,,DDR3,,sata_6_gb_s
ASRock A520 A520M-HDVP/DASH AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z270 ROG STRIX Z270G GAMING DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME H610M-K LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,ĐEN,DDR5,PCIe 4.0 x4,
Asus 990FX TUF SABERTOOTH R3.0 DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN,DDR3,PCIe 4.0 x4,sata_6_gb_s
ASRock Z390 STEEL LEGEND DDR4 ATX,11012210,LGA 1151,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H510 PRIME H510M-A R2.0 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B250F STRIX GAMING DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus PRIME B550M-A WI-FI DDR4 Micro ATX [Delete],3815546,AM4,Micro ATX,128,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,
MSI B560M PRO DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS B760M-AYW WIFI II,4858808,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI Z170A MPOWER GAMING TITANIUM DDR4 ATX,10295099,LGA 1151,ATX,64,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,u2
ASRock Z590 Phantom Gaming-ITX/TB4 DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z590 MPG Z590M GAMING EDGE WIFI LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B850M MAG MORTAR WIFI AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,ĐEN / XANH LÁ,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME M-D D4 LGA1700 DDR4 Micro ATX,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z590M-ITX/ax LGA 1200 Mini ITX Intel Motherboard,12619255,LGA 1200,Mini-ITX,64,2,,DDR4,PCIe 4.0 x4; PCIe 3.0 x4,sata_6_gb_s
ASRock Z590 Extreme LGA1200 DDR4 ATX,20924516,LGA 1200,ATX,128,4,ĐEN / XANH DƯƠNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X470 Taichi ATX AM4,4873562,AM4,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI H110 H110M PRO-D DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,,sata_6_gb_s
Gigabyte AMD X370 GA-AX370-GAMING 5 DDR4 ATX,7297565,AM4,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME H610I-PLUS D4-CSM DDR4 Mini ITX,5870720,LGA 1700,Mini-ITX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte Z270 GA-Z270XP-SLI DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
B460M D3H,4465478,LGA 1200,Micro ATX,128,4,,DDR4,SATA and PCIe x4/x2,sata_6_gb_s
Biostar B550 MXC PRO DDR4 Micro ATX,2925612,AM4,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B350I PRO AC AM4 DDR4 Mini ITX,3952013,AM4,Mini-ITX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Colorful X570M CVN GAMING FROZEN V14 AM4 DDR4 Micro ATX,2925612,AM4,Micro ATX,128,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H110M GA-H110M-S2H GSM DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s
Asus Z270 PRIME AR DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF Gaming Z590-PLUS WIFI DDR4 ATX,12592910,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
ASUS ROG Strix B850-I Gaming WiFi7 W,7903237,AM5,Mini-ITX,128,2,TRẮNG / XÁM,DDR5,PCIe 5.0 x4,sata_6_gb_s
ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,3152443,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI X299 GAMING PRO CARBON LGA2066 DDR4 ATX,12882705,LGA 2066,ATX,128,8,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B350 AB350M-HDV DDR4 Micro ATX,2588133,AM4,Micro ATX,32,2,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B760M-PLUS WIFI II,6949021,LGA 1700,Micro ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,
MSI X470 GAMING M7 AC AM4 DDR4 ATX,9905720,AM4,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z890 ROG MAXIMUS HERO BTF LGA1851 DDR5 ATX,8693587,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
MSI B365 PRO-VDH DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
ASUS TUF GAMING B550M-E,3815546,AM4,Micro ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus TUF GAMING B650-E WIFI,5268737,AM5,ATX,192,4,ĐEN / CAM,DDR5,PCIe 4.0 x4,
MSI B150M BAZOOKA LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / TRẮNG,DDR4,,sata_6_gb_s
ASRock Z890M Riptide WiFi DDR5 Micro ATX,3951487,LGA 1851,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
MSI Z690 MEG UNIFY-X DDR5 ATX,6306466,LGA 1700,ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B650E AORUS TACHYON DDR5 ATX,6129691,AM5,ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
EVGA P55 P55V LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,16,4,ĐEN / XÁM,DDR3,,
Gigabyte Z97 GA-Z97M-D3H LGA1150 DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,32,4,ĐEN / VÀNG,DDR3,,
MSI A520 A520M PRO-VDH DDR4 Micro ATX,2897950,AM4,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
PRO Z690-A WIFI DDR4,7310738,LGA 1700,ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte AMD 785G GA-MA785GM-US2H AM3/AM2+/AM2 DDR2 Micro ATX,5268737,AM3,Micro ATX,16,4,RGB,DDR2,,sata_3_gb_s
Gigabyte Z170X UD3 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H87 PLUS LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / VÀNG,DDR3,,sata_6_gb_s
Gigabyte H370M DS3H DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H170 GA-H170-D3HP LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B850 PRO B850-VC WIFI6E AM5 DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
MSI AMD 970 970A GAMING PRO CARBON AM3+/AM3 DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XÁM,DDR3,PCIe 4.0 x4,
Asus H610 PRIME H610M-E LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H81 GA-H81M-S2PV DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN,DDR3,,sata_3_gb_s; sata_6_gb_s
MSI MEG X870E GODLIKE X EDITION,21075737,AM5,EATX,256,4,ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s
ASRock Z270 Pro4 LGA1151 DDR4 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI C232 E3 KRAIT GAMING V5 LGA1151 DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,
Gigabyte P45 GA-EP45T-UD3LR DDR3 ATX,1933460,LGA 775,ATX,16,4,RGB,DDR3,,sata_3_gb_s
Asus TUF GAMING A520M-PLUS WIFI AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,128,4,ĐEN / CAM,DDR4,PCIe 3.0 x4,sata_6_gb_s
Asus B365 ROG STRIX B365-F GAMING LGA1151 DDR4 ATX,9707869,LGA 1151,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X79 Extreme7 LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,48,6,ĐEN / XÁM,DDR3,,sata_3_gb_s; sata_6_gb_s
MSI X470 GAMING PLUS AM4 DDR4 ATX,9905720,AM4,ATX,128,4,ĐỎ / ĐEN,DDR4,PCIe 4.0 x4,
ASUS PRIME B760M-R D4-CSM,4858808,LGA 1700,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI MPG X870E CARBON MAX WIFI,6452944,AM5,ATX,256,4,RGB / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI B650 PRO B650M-A AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI MPG Z390M GAMING EDGE AC LGA 1151 (300 Series) Intel Z390 SATA 6Gb/s Micro ATX Intel Motherboard,6849437,LGA 1151,Micro ATX,128,4,,DDR4,PCIe 3.0 x4 and SATA 6Gb/s,sata_6_gb_s
Asus Z170 MAXIMUS VIII EXTREME LGA1151 WIFI DDR4 EATX,17124250,LGA 1151,EATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B450 M S2H DDR4 Micro ATX,2897687,AM4,Micro ATX,32,2,ĐEN,DDR4,PCIe 4.0 x4,
MSI A320M-A PRO,2897950,AM4,Micro ATX,32,2,,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0) DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B460-PLUS LGA 1200 Intel B460 SATA 6Gb/s ATX Intel Motherboard,12592910,LGA 1200,ATX,128,4,,DDR4,PCIE 3.0 x4 & SATA; PCIE 3.0 x4,sata_6_gb_s
Asus H610 PRIME H610I-PLUS DDR5 Mini ITX,5870720,LGA 1700,Mini-ITX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B560 M PRO-E DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,
Asus Z390 PRIME Z390M-PLUS DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,128,4,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock H510M HDV/M.2 SE DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
MSI A520M MAG VECTOR WIFI AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z590 MEG UNIFY-X DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X79 Extreme6 LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,64,8,ĐEN / XÁM,DDR3,,sata_3_gb_s; sata_6_gb_s
Asus H510 PRIME H510M-K DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus Z690 PRIME Z690-P DDR5 ATX,8166687,LGA 1700,ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B760M MAG MORTAR MAX WIFI DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B650M-A AX6 II,5532187,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
NZXT Z590 N7 LGA1200 DDR4 ATX,10537737,LGA 1200,ATX,128,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus A620 PRIME A620AM-K-CSM AM5 DDR5 Micro ATX,5532187,AM5,Micro ATX,128,2,ĐEN,DDR5,PCIe 4.0 x4,
MSI Z590 MPG GAMING FORCE DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
