tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
Gigabyte B840M D2H AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760M GAMING WIFI DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX Z490-G GAMING (WiFi 6),4097965,LGA 1200,Micro ATX,128,4,,DDR4,PCIE 3.0 x4; SATA & PCIE 3.0 x4,sata_6_gb_s
Gigabyte B250 GA-B250M-Gaming 3 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H310 PRIME H310M-C/CSM DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B365M Pro4 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Sapphire NITRO+ B850A WIFI 7,6309628,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte B650 AORUS ELITE AX DDR5 ATX,6129691,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
ASUS PRIME B760M-F WIFI-CSM,4858808,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte GA-A320M-S2H Micro ATX AM4,2897687,AM4,Micro ATX,32,2,,DDR4,NVMe PCIe 3.0 x4 & SATA Mode,sata_6_gb_s
Gigabyte Z690 AORUS ELITE AX (rev. 1.4) DDR5 ATX,6913982,LGA 1700,ATX,128,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Biostar B650 MT AM5 DDR5 Micro ATX,4572965,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B360M PRO-VD DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z170 GA-Z170MX-Gaming 5 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B460 M Pro4 LGA1200 DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B850 GAMING X WIFI6E AM5 DDR5 ATX,6129691,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASRock Z790 Nova WiFi DDR5 ATX,5327222,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus ROG STRIX Z890-E GAMING WIFI DDR5 ATX,8693587,LGA 1851,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus B150 PRO GAMING/AURA DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
EVGA Z790 CLASSIFIED LGA1700 DDR5 EATX,13725482,LGA 1700,EATX,128,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ROG STRIX X870-F GAMING WIFI,6309628,AM5,ATX,192,4,,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus PRIME Z690-P WIFI D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte B860M H LGA1851 DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS B850M-E AYW GAMING WIFI-CSM,5532187,AM5,Micro ATX,128,2,TRẮNG / ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Biostar A320 MH DDR4 Micro ATX,2925612,AM4,Micro ATX,32,2,ĐEN / VÀNG,DDR4,,
Gigabyte B760M AORUS ELITE LGA1700 DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B660M MAG BAZOOKA DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z590 PRIME V DDR4 ATX,12592910,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z890 AORUS MASTER AI TOP DDR5 EATX,21589464,LGA 1851,EATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus AMD 760G M5A78L-M LX PLUS AM3+ DDR3 Micro ATX,6638413,AM3+,Micro ATX,16,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s
Gigabyte H110M S2H DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s
MSI Z790 GAMING WIFI DDR5 ATX,6306466,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte P45 GA-EP45-UD3L LGA775 DDR2 ATX,1933460,LGA 775,ATX,16,4,RGB,DDR2,,sata_3_gb_s
Gigabyte H370 HD3 LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS B850 MAX GAMING WIFI-CSM,6698216,AM5,ATX,256,4,ĐEN / XÁM / VÀNG,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s
Asus X570 TUF GAMING X570-PLUS DDR4 ATX,7093918,AM4,ATX,128,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,
MSI Z590 PRO WIFI LGA1200 DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte Z270 GA-Z270X-Gaming 7 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z370 AORUS ULTRA GAMING WIFI DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z790-I ROG STRIX GAMING WIFI LGA1700 DDR5 Mini ITX,5870720,LGA 1700,Mini-ITX,96,2,ĐEN,DDR5,PCIe 4.0 x4,
MSI MEG B550 UNIFY,9905720,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z490I AORUS ULTRA DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI A320M PRO-M2 V2 AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z170A KRAIT GAMING DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H370 TUF H370-Pro Gaming (WI-FI) DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B550M PRO,2897950,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z590 MPG GAMING CARBON WIFI DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
MSI AMD 970 970A-G43 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s
Gigabyte B660 DS3H LGA1700 DDR4 ATX,6913982,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
ASRock B650 M-H/M.2+ DDR5 Micro ATX,3937524,AM5,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte B650M GAMING WIFI6E AM5 DDR5 ATX,6129691,AM5,ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASUS ROG STRIX B560-F GAMING WIFI DDR4 ATX,12592910,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B365 B365M DS3H LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte Z890M AORUS ELITE WIFI7 DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI PRO Z890-S WIFI,6059087,LGA 1851,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B760-PLUS WIFI,4214937,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
ASRock Z390M Pro4 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte C246 N-WU2 LGA1151 DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock A520M Pro4 AM4 DDR4 Micro ATX,2588133,AM4,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus X79 Sabertooth DDR3 ATX,17602412,LGA 2011,ATX,64,8,NÂU / ĐEN,DDR3,,sata_3_gb_s; sata_6_gb_s
MSI Z690 MAG TORPEDO LGA1700 DDR5 ATX,6306466,LGA 1700,ATX,192,4,XANH DƯƠNG / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H110 GA-H110M-A DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,
ASRock H270 M-ITX/ac LGA1151 DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760I AORUS PRO DDR5 Mini ITX,5400462,LGA 1700,Mini-ITX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
Gigabyte Z790 AORUS ELITE X DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus B860 M-BRO-CSM LGA1851 DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,128,2,TRẮNG / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI MEG Z390 ACE,10712931,LGA 1151,ATX,128,4,,DDR4,PCIe 3.0 x4,sata_6_gb_s
ASRock H110 M-DGS DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / CAM,DDR4,,sata_6_gb_s
EVGA Z370 Micro ATX Micro ATX LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Biostar P43 D3 LGA775 DDR3 ATX,1933460,LGA 775,ATX,4,2,RGB,DDR3,,sata_3_gb_s
ASUS PRIME B760M-A,4858808,LGA 1700,Micro ATX,128,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASRock H370M-HDV/M.2,6849437,LGA 1151,Micro ATX,64,2,ĐEN,DDR4,SATA / PCIe 3.0 x4,sata_6_gb_s
MSI Z170I GAMING PRO AC DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI MAG B560M MORTAR WIFI DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,
ASUS PRIME B450M-A/CSM,5242655,AM4,Micro ATX,128,4,,DDR4,PCIE 3.0 x4,sata_6_gb_s
Gigabyte A620 I AX DDR5 Mini ITX,6243765,AM5,Mini-ITX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
H470 AORUS PRO AX,10537737,LGA 1200,ATX,128,4,,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte H410M S2 V3 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX B850-A GAMING WIFI7 NEO,6698216,AM5,ATX,256,4,TRẮNG / XÁM / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
ASUS B660 ProArt CREATOR D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
ASRock B550 PG Velocita DDR4 ATX,4873562,AM4,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
Supermicro Q370 MBD-X11SCV-Q-O LGA1151 DDR4 Mini ITX,7729886,LGA 1151,Mini-ITX,64,2,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B650M-A AX6,5532187,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS Z270 PRIME Z270-P DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Gigabyte Z370 Z370N WIFI DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B850-PLUS WIFI,5268737,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s
MSI B85 G43 LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Asus H110 M-A/M.2 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z790 AORUS XTREME,13725482,LGA 1700,EATX,128,4,,DDR5,PCIe 5.0 x4/x2; PCIe 4.0 x4/x2; PCIe 4.0 x4/ x2,sata_6_gb_s
MSI H55 M-E23 LGA1156 DDR3 Micro ATX,3284958,LGA 1156,Micro ATX,8,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s
Gigabyte X570S UD AM4 DDR4 ATX,7297565,AM4,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus H610 PRIME H610M-A LGA1700 DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,96,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B560M AORUS ELITE LGA1200 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte C232 MW21-SE0 LGA1151 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XANH DƯƠNG,DDR4,,
Asus PRIME B860M-A WIFI-CSM DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,256,4,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
EVGA Z370 FTW LGA1151 DDR4 ATX,9682051,LGA 1151,ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX B760-A GAMING WIFI,6059087,LGA 1700,ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
Gigabyte Z790 GAMING PLUS AX DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte B560 M D3H LGA1200 DDR4 Micro ATX,4188855,LGA 1200,Micro ATX,128,4,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Supermicro Intel C602 X9SRI-F-O LGA2011 DDR3 ATX,19495300,LGA 2011,ATX,64,8,XANH LÁ,DDR3,,sata_3_gb_s; sata_6_gb_s
MSI B250M MORTAR ARCTIC DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
X570 Phantom Gaming-ITX/TB3 Mini ITX Thunderbolt 3 AMD Motherboard Model X570 Phantom GAM ITX,3952013,AM4,Mini-ITX,64,2,,DDR4,PCIe 4.0 x4 / SATA + PCIe,sata_6_gb_s
MSI H110 H110M ECO DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s
Gigabyte Z390 AORUS MASTER WIFI DDR4 ATX,7007770,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Gigabyte Z890 AERO G DDR5 ATX,5928942,LGA 1851,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
ASRock Z890 Pro-A WiFi,5268737,LGA 1851,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte Z790 AORUS ELITE X WIFI7 DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
Gigabyte B450M GAMING AM4 DDR4 Micro ATX,2897687,AM4,Micro ATX,32,2,ĐỎ / ĐEN,DDR4,PCIe 4.0 x4,
MSI Z390 MPG GAMING PRO CARBON AC DDR4 ATX,10295099,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus Intel X79 Rampage IV Formula LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,32,4,ĐEN / ĐỎ,DDR3,,sata_3_gb_s; sata_6_gb_s
Asus AMD 890GX M4A89GTD PRO/USB3 AM3 DDR3 ATX,3746259,AM3,ATX,16,4,ĐEN / XANH DƯƠNG,DDR3,,sata_6_gb_s
Asus B860 PRIME B860M-A LGA1851 DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,256,4,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI B350 PC MATE AM4 DDR4 ATX,9905720,AM4,ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte Z370 XP SLI (rev. 1.0) DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
NZXT Z390 N7 WIFI LGA1151 DDR4 ATX,9682051,LGA 1151,ATX,64,4,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI H510 I PRO WIFI DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B760M-A WIFI II,4858808,LGA 1700,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI H310M PRO-VDH DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s
ASRock B450 Pro4 ATX AM4,4873562,AM4,ATX,64,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B760I Lightning WiFi LGA1700 DDR5 Mini ITX,5685778,LGA 1700,Mini-ITX,128,2,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Colorful B760I CVN FROZEN WIFI V20 DDR4 Mini ITX,5685778,LGA 1700,Mini-ITX,64,2,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z590 Extreme WiFi 6E DDR4 ATX LGA1200,20924516,LGA 1200,ATX,128,4,ĐEN / XANH DƯƠNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z690 AORUS ULTRA LGA1700 DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI Z97 G55 SLI DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / XANH DƯƠNG,DDR3,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B560-PLUS LGA 1200 ATX Motherboard,12592910,LGA 1200,ATX,128,4,,DDR4,PCIE 4.0 x4; PCIE 3.0 x4 & SATA mode,sata_6_gb_s
EVGA Z170 Classified K LGA1151 DDR4 ATX,9682051,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,
ASRock B760 M-H2/M.2 DDR5 Micro ATX,3152443,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
ASRock B560M ITX/ac LGA1200 DDR4 Mini ITX,12619255,LGA 1200,Mini-ITX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Supermicro Intel C232 MBD-X11SSL-O LGA1151 DDR4 Micro ATX,10604389,LGA 1151,Micro ATX,64,4,ĐEN / XANH LÁ,DDR4,,sata_6_gb_s
MSI B660 PRO M-P WIFI DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Q370 Q370M D3H GSM PLUS DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z170 Pro4/D3 DDR3 ATX,11012210,LGA 1151,ATX,64,4,ĐEN / CAM,DDR3,,sata_6_gb_s
MSI Z490 MPG GAMING PLUS LGA1200 DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus B560 TUF GAMING B560M-PLUS WIFI LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,VÀNG / ĐEN,DDR4,PCIe 4.0 x4,
ASRock H570 Phantom Gaming 4 DDR4 ATX,20924516,LGA 1200,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus ROG STRIX Z690-E GAMING WIFI DDR5 ATX,8166687,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
ASRock X670E Pro RS AM5 DDR5 ATX,5268737,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
B460 AORUS PRO AC,10537737,LGA 1200,ATX,128,4,,DDR4,PCIe x4/x2 SSD,sata_6_gb_s
Asus NVIDIA GeForce 7025 M4N68T-M V2 AM3 DDR3 Micro ATX,6638413,AM3,Micro ATX,16,2,ĐEN / XANH DƯƠNG,DDR3,,sata_3_gb_s
