tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,hỗ trợ RAM,khe M.2,lưu trữ
Gigabyte B550 AORUS PRO AX AM4 DDR4 ATX,277.00,AM4,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B460M AORUS ELITE DDR4 Micro ATX,159.00,LGA 1200,Micro ATX,128,4,BLACK / ORANGE,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus C232 E3 PRO GAMING V5 DDR4 ATX,368.49,LGA 1151,ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H55 P7H55-M LE LGA1156 DDR3 Micro ATX,124.69,LGA 1156,Micro ATX,8,2,BLACK / BLUE,DDR3,,sata_3_gb_s
Asus C246 WS C246 PRO DDR4 ATX,368.49,LGA 1151,ATX,64,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX B450-I GAMING,150.01,AM4,Mini-ITX,32,2,,DDR4,PCIE 3.0 x4 and SATA; PCIE 3.0 x4,sata_6_gb_s
ASRock X570 Extreme4 AM4 DDR4 ATX,184.99,AM4,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H170 GA-GAMING 3 DDR4 ATX,266.00,LGA 1151,ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z170M Extreme4 DDR4 Micro ATX,259.99,LGA 1151,Micro ATX,64,4,BLACK / ORANGE,DDR4,PCIe 4.0 x4,sata_6_gb_s
Colorful B460I CVN GAMING FROZEN V20 DDR4 Mini ITX,479.00,LGA 1200,Mini-ITX,64,2,WHITE / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B550 Extreme4 DDR4 ATX,184.99,AM4,ATX,128,4,BLUE / BLACK,DDR4,PCIe 4.0 x4,
Gigabyte H370 AORUS Gaming 3 WIFI DDR4 ATX,266.00,LGA 1151,ATX,64,4,BLACK / ORANGE,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B650M GAMING PLUS WIFI DDR5 Micro ATX,189.49,AM5,Micro ATX,192,4,GREY / BLACK,DDR5,PCIe 4.0 x4,
MSI H610 PRO H610M-G LGA1700 DDR4 Micro ATX,154.99,LGA 1700,Micro ATX,64,2,BLACK / GREY,DDR4,PCIe 4.0 x4,
MSI Z390 MPG GAMING PLUS DDR4 ATX,390.78,LGA 1151,ATX,128,4,BLACK / RED,DDR4,PCIe 4.0 x4,
ASRock Z790 PG Lightning/D4 LGA1700 DDR4 ATX,202.21,LGA 1700,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X670E Taichi Carrara,799.99,AM5,EATX,128,4,,DDR5,PCIe Gen4 x4,sata_6_gb_s
MSI Z97 Z97A GAMING 6 DDR3 ATX,411.98,LGA 1150,ATX,32,4,BLACK / RED,DDR3,PCIe 4.0 x4,sata_6_gb_s
Asus ROG STRIX B250I GAMING DDR4 Mini ITX,321.50,LGA 1151,Mini-ITX,32,2,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus ROG STRIX B650E-F GAMING WIFI DDR5 ATX,254.25,AM5,ATX,128,4,BLACK / GREY,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
ASRock AB350 Pro4,184.99,AM4,ATX,64,4,,DDR4,PCIe Gen3 x4; SATA3 6.0 Gb/s,sata_6_gb_s
Gigabyte Z690M AORUS ELITE AX DDR4,265.89,LGA 1700,Micro ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus 760G M5A78L-M LE/USB3 AM3+ DDR3 Micro ATX,251.98,AM3+,Micro ATX,16,2,BLACK / BLUE,DDR3,,sata_3_gb_s
Gigabyte AMD 760G GA-78LMT-S2 AM3+ DDR3 Micro ATX,199.99,AM3+,Micro ATX,16,2,BLUE / WHITE,DDR3,,sata_3_gb_s
MSI X470 GAMING PRO CARBON AM4 DDR4 ATX,376.00,AM4,ATX,64,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI H370 GAMING PLUS DDR4 ATX,390.78,LGA 1151,ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H270 GA-H270N-WIFI LGA1151 DDR4 Mini ITX,321.50,LGA 1151,Mini-ITX,32,2,BLACK / GREY,DDR4,PCIe 4.0 x4,
TUF Z390M-PRO GAMING,259.99,LGA 1151,Micro ATX,64,4,,DDR4,PCIe 3.0 x4 & SATA; PCIe 3.0 x4,sata_6_gb_s
Asus Z590 ROG STRIX Z590-F GAMING WIFI DDR4 ATX,478.00,LGA 1200,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B550 AORUS MASTER DDR4 ATX,277.00,AM4,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Biostar H610 MX-E LGA1700 DDR4 Micro ATX,152.52,LGA 1700,Micro ATX,64,2,GREY / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Z590 TUF GAMING PLUS DDR4 ATX,478.00,LGA 1200,ATX,128,4,GREY / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X370 M-HDV AM4 DDR4 Micro ATX,98.24,AM4,Micro ATX,32,2,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H270 STRIX H270F GAMING LGA1151 DDR4 ATX,368.49,LGA 1151,ATX,64,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock H270 Pro4 LGA1151 DDR4 ATX,418.00,LGA 1151,ATX,64,4,BLACK / WHITE,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B450M MORTAR MAX AM4 DDR4 Micro ATX,110.00,AM4,Micro ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,
MSI H81 H81M-E35 DDR3 Micro ATX,287.00,LGA 1150,Micro ATX,16,2,BLACK / BLUE,DDR3,,sata_3_gb_s; sata_6_gb_s
ASRock Z490 Phantom Gaming 4 DDR4 ATX,794.25,LGA 1200,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus X670E PRIME PRO WIFI-CSM AM5 DDR5 ATX,254.25,AM5,ATX,192,4,GREY / BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
Biostar B650M X3D PRO+ AM5 DDR5 Micro ATX,173.58,AM5,Micro ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
ASUS TUF GAMING B850M-PLUS II,209.99,AM5,Micro ATX,256,4,BLACK,DDR5,PCIe 4.0 x4,
Asus ROG STRIX Z790-F GAMING WIFI DDR5 ATX,309.99,LGA 1700,ATX,192,4,BLACK,DDR5,PCIe 4.0 x4,
ASUS TUF GAMING B550M-PLUS WIFI II,199.99,AM4,Micro ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,
MSI B650 GAMING PLUS AM5 DDR5 ATX,244.94,AM5,ATX,256,4,BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B360I GAMING PRO AC DDR4 Mini ITX,321.50,LGA 1151,Mini-ITX,32,2,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z87 G43 DDR3 ATX,411.98,LGA 1150,ATX,32,4,BLACK / BLUE,DDR3,,sata_6_gb_s
MSI H55 M-E33 LGA1156 DDR3 Micro ATX,124.69,LGA 1156,Micro ATX,16,4,BLACK / BLUE,DDR3,,sata_3_gb_s
Gigabyte Z690M DS3H DDR4 (rev. 1.0),262.44,LGA 1700,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4/x2,sata_6_gb_s
ASUS PRO B460M-C/CSM,155.55,LGA 1200,Micro ATX,128,4,,DDR4,PCIe 3.0 x4 & SATA; PCIe 3.0 x4,sata_6_gb_s
Gigabyte B550 UD AC DDR4 ATX,277.00,AM4,ATX,128,4,BROWN / BLACK,DDR4,PCIe 4.0 x4,
MSI B760M GAMING PLUS WIFI DDR4 Micro ATX,154.99,LGA 1700,Micro ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B550 VISION D AM4 DDR4 ATX,277.00,AM4,ATX,128,4,WHITE / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B150 M-A LGA1151 DDR4 Micro ATX,173.25,LGA 1151,Micro ATX,64,4,BLACK / GOLD,DDR4,,sata_6_gb_s
Biostar A620 MP-E PRO AM5 DDR5 Micro ATX,173.58,AM5,Micro ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASRock AB350 Fatal1ty Gaming K4 DDR4 ATX,184.99,AM4,ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
EVGA Z690 DARK K|NGP|N DDR5 EATX,520.99,LGA 1700,EATX,64,2,BLACK / GOLD,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus AMD 990X M5A99X EVO R2.0 AM3+ DDR3 ATX,142.20,AM3+,ATX,32,4,BLACK / BLUE,DDR3,,sata_6_gb_s
Gigabyte Z790 D LGA1700 DDR5 ATX,262.44,LGA 1700,ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
Asus ROG STRIX Z490-F GAMING DDR4 ATX,478.00,LGA 1200,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B650M PROJECT ZERO AM5 DDR5 Micro ATX,189.49,AM5,Micro ATX,256,4,GREY / BLACK,DDR5,PCIe 4.0 x4,
Gigabyte Z790 GAMING X DDR5 ATX,262.44,LGA 1700,ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASRock X870E Taichi Lite AM5 DDR5 EATX,799.99,AM5,EATX,256,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
Asus Z690 TUF GAMING Z690-PLUS WIFI D4 DDR4 ATX,309.99,LGA 1700,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,
ASUS TUF GAMING B760M-PLUS WIFI,184.43,LGA 1700,Micro ATX,192,4,BLACK / ORANGE,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASRock Z390 Phantom Gaming 4 LGA1151 DDR4 ATX,418.00,LGA 1151,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,
Asus Z690 TUF GAMING PLUS WIFI DDR5 ATX,309.99,LGA 1700,ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
MSI B460 M-A PRO DDR4 Micro ATX,299.99,LGA 1200,Micro ATX,64,2,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B360M AORUS GAMING 3 DDR4 Micro ATX,259.99,LGA 1151,Micro ATX,64,4,BLACK / ORANGE,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X870 Phantom Gaming Riptide WiFi AM5 DDR5 ATX,199.99,AM5,ATX,256,4,BLACK / PURPLE,DDR5,PCIe 4.0 x4,
MSI X870E PRO-P WIFI DDR5 ATX,244.94,AM5,ATX,256,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
MSI Z790 MPG CARBON MAX WIFI LGA1700 DDR5 ATX,239.38,LGA 1700,ATX,192,4,BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus Z490 PRIME-P LGA1200 DDR4 ATX,478.00,LGA 1200,ATX,128,4,BLACK / GREY,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte Z590 Z590M GAMING X DDR4 Micro ATX,159.00,LGA 1200,Micro ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI A320M PRO-VH PLUS Micro ATX AM4,110.00,AM4,Micro ATX,32,2,,DDR4,,sata_6_gb_s
Gigabyte X570S GAMING X AM4 DDR4 ATX,277.00,AM4,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI MAG B460 TOMAHAWK,278.99,LGA 1200,ATX,128,4,,DDR4,PCIe 3.0 x4 and SATA 6Gb/s; PCIe 3.0 x4,sata_6_gb_s
Asus PRIME Z390-P DDR4 ATX,368.49,LGA 1151,ATX,128,4,GREY / BLACK,DDR4,PCIe 4.0 x4,
MSI Z690 MEG UNIFY WIFI LGA1700 DDR5 ATX,239.38,LGA 1700,ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
Gigabyte B650 M D2HP (rev. 1.2) AM5 DDR5 Micro ATX,169.54,AM5,Micro ATX,96,2,BLACK / GREY,DDR5,PCIe 4.0 x4,
Gigabyte H610M S2H V2 LGA1700 DDR5 Micro ATX,160.19,LGA 1700,Micro ATX,96,2,BLACK / GREY,DDR5,PCIe 4.0 x4,
Asus B350 PRIME B350M-A AM4 DDR4 Micro ATX,144.83,AM4,Micro ATX,64,4,BLACK / GREY,DDR4,PCIe 4.0 x4,
MSI A320 A320M PRO-VH DDR4 Micro ATX,110.00,AM4,Micro ATX,64,2,BROWN / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX X870E-E GAMING WIFI,478.01,AM5,ATX,256,4,BLACK / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus B450 PRIME B450M-K AM4 DDR4 Micro ATX,144.83,AM4,Micro ATX,32,2,BLACK,DDR4,PCIe 4.0 x4,
Asus H610 PRIME H610M-K D4-ARGB DDR4 Micro ATX,184.43,LGA 1700,Micro ATX,64,2,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI MAG Z690M MORTAR WIFI DDR5 Micro ATX,154.99,LGA 1700,Micro ATX,192,4,GREY / BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B550M-PLUS (WI-FI),274.00,AM4,Micro ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,
ASUS PRIME B760-PLUS D4,172.99,LGA 1700,ATX,128,4,GREY / BLACK,DDR4,PCIe 4.0 x4,
Asus H670 PRIME-PLUS D4 DDR4 ATX,309.99,LGA 1700,ATX,128,4,GREY / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z170 Pro4 LGA1151 DDR4 ATX,418.00,LGA 1151,ATX,64,4,BLACK / ORANGE,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus X299 TUF MARK 2 DDR4 ATX,886.00,LGA 2066,ATX,128,8,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B850 LiveMixer WiFi AM5 DDR5 ATX,199.99,AM5,ATX,256,4,GREY / BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B650M-F-CSM,209.99,AM5,Micro ATX,96,2,BLACK / GREY,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus B460 TUF GAMING B460M-PLUS (WI-FI) LGA1200 DDR4 Micro ATX,155.55,LGA 1200,Micro ATX,128,4,BLACK / GOLD,DDR4,PCIe 4.0 x4,
MSI H410 H410M PRO-VH LGA1200 DDR4 Micro ATX,299.99,LGA 1200,Micro ATX,64,2,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte H510M H V2 DDR4 Micro ATX,159.00,LGA 1200,Micro ATX,64,2,GREY / BROWN,DDR4,PCIe 4.0 x4,
Asus X299 Prime Edition 30 DDR4 ATX,886.00,LGA 2066,ATX,256,8,BLACK / WHITE,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760M DS3H AX DDR4 Micro ATX,160.19,LGA 1700,Micro ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z390 MPG GAMING EDGE AC DDR4 ATX,390.78,LGA 1151,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,
Gigabyte B650 M D2H AM5 DDR5 Micro ATX,169.54,AM5,Micro ATX,96,2,BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z390 GAMING X DDR4 ATX,266.00,LGA 1151,ATX,128,4,BLACK / RED,DDR4,PCIe 4.0 x4,
ASUS TUF GAMING B850M-PLUS WIFI,219.99,AM5,Micro ATX,256,4,BLACK / RGB,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte X870E AORUS MASTER AM5 DDR5 ATX,232.67,AM5,ATX,256,4,BLACK,DDR5,PCIe 4.0 x4,
Gigabyte Z890 UD LGA1851 DDR5 ATX,225.05,LGA 1851,ATX,256,4,BLACK / GREY,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B760M-A AX6 II,184.43,LGA 1700,Micro ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
Asus H110 H110M-A LGA1151 DDR4 Micro ATX,173.25,LGA 1151,Micro ATX,32,2,BLACK / GOLD,DDR4,,sata_6_gb_s
Asus H510 PRIME H510M-R DDR4 Micro ATX,155.55,LGA 1200,Micro ATX,64,2,BLACK,DDR4,,sata_6_gb_s
Gigabyte X870E AORUS PRO ICE DDR5 ATX AM5,232.67,AM5,ATX,256,4,WHITE,DDR5,PCIe 4.0 x4,
MSI Z790-S01,239.38,LGA 1700,ATX,256,4,BLACK / GREY,DDR5,PCIe 4.0 x4; PCIe 4.0 x4 / SATA,sata_6_gb_s
Asus B150 PLUS D3 LGA1151 DDR3 Micro ATX,173.25,LGA 1151,Micro ATX,64,4,BLACK / GOLD,DDR3,,sata_6_gb_s
Gigabyte B550 GAMING X V2 DDR4 ATX,277.00,AM4,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX B550-XE GAMING WIFI,269.27,AM4,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4; PCIE 3.0 x 4,sata_6_gb_s
ASRock B550M HVS SE AM4 DDR4 Micro ATX,98.24,AM4,Micro ATX,64,2,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B660 DS3H AX DDR4 ATX LGA1700,262.44,LGA 1700,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z790 AERO G DDR5 ATX,262.44,LGA 1700,ATX,256,4,BLACK / WHITE,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI B760 PRO VC WIFI II DDR5 ATX,239.38,LGA 1700,ATX,192,4,BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
Supermicro Intel C242 X11SCL-IF LGA1151 DDR4 Mini ITX,293.41,LGA 1151,Mini-ITX,64,2,GREEN,DDR4,PCIe 4.0 x4,
Asus A620 Pro A620M-DASH-CSM AM5 DDR5 Micro ATX,209.99,AM5,Micro ATX,96,2,GREEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus H610 PRIME H610M-A D4-CSM DDR4 Micro ATX,184.43,LGA 1700,Micro ATX,64,2,GREY / BLACK,DDR4,PCIe 4.0 x4,
GIGABYTE B650E AORUS MASTER,232.67,AM5,ATX,128,4,,DDR5,PCIe 5.0 x4,sata_6_gb_s
Gigabyte Z590 AORUS ELITE AX DDR4 ATX,387.75,LGA 1200,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,
MSI MAG B760M MORTAR WIFI DDR5 Micro ATX,154.99,LGA 1700,Micro ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B250 GA-B250-HD3 LGA1151 DDR4 ATX,266.00,LGA 1151,ATX,64,4,BLACK / GOLD,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B250 PRIME B250M-K LGA1151 DDR4 Micro ATX,173.25,LGA 1151,Micro ATX,32,2,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760 GAMING X DDR5 ATX,262.44,LGA 1700,ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
Gigabyte Z390 AORUS ELITE LGA1151 DDR4 ATX,266.00,LGA 1151,ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,
MSI B560 MAG B560M MORTAR DDR4 Micro ATX,299.99,LGA 1200,Micro ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B450 TUF GAMING B450M-PLUS II AM4 DDR4 Micro ATX,144.83,AM4,Micro ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,
Gigabyte Z890 AI TOP LGA1851 DDR5 EATX,819.49,LGA 1851,EATX,256,4,GREY / BLACK,DDR5,PCIe 4.0 x4,
Asus Z690-G ROG STRIX GAMING WIFI DDR5 Micro ATX,184.43,LGA 1700,Micro ATX,128,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
MSI B860 PRO B860-P WIFI LGA1851 DDR5 ATX,239.99,LGA 1851,ATX,256,4,GREY / BLACK,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s
Asus B860 PRIME B860M-K-CSM LGA1851 DDR5 Micro ATX,209.99,LGA 1851,Micro ATX,128,2,GREY / BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus Z390 ROG STRIX Z390-F GAMING DDR4 ATX,368.49,LGA 1151,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,
MSI Z790 MPG EDGE WIFI DDR4 ATX,239.38,LGA 1700,ATX,128,4,GREY / BLACK,DDR4,PCIe 4.0 x4,
MSI B450 GAMING PRO CARBON AC AM4 DDR4 ATX,376.00,AM4,ATX,128,4,BLACK,DDR4,PCIe 4.0 x4,
MSI H410 H410M PRO LGA1200 DDR4 Micro ATX,299.99,LGA 1200,Micro ATX,64,2,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus Q470 Pro Q470M-C/CSM LGA1200 DDR4 Micro ATX,155.55,LGA 1200,Micro ATX,128,4,GREEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B250G STRIX Gaming DDR4 Micro ATX,173.25,LGA 1151,Micro ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte X870 AORUS STEALTH,232.67,AM5,ATX,256,4,WHITE,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI AMD B650 PRO B650-VC WIFI AM5 DDR5 ATX,244.94,AM5,ATX,192,4,BLACK / GREY,DDR5,PCIe 4.0 x4,
MSI B760 MAG B760M MORTAR DDR5 Micro ATX,154.99,LGA 1700,Micro ATX,192,4,GREY / BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
